source_slug,source_family,source_type,target_track,target_slug,target_title_ko,target_format,embedded_island,content_angle,migration_priority,status,notes
acquisition-tax,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,high,candidate,
adhd-screening,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
age-calculator,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
ai,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
aim-trainer,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
all-articles,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
animal-pop,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
animal-type,psychology-self-discovery,tool-or-test,interactive,,,interpretive-guide,,,medium,candidate,
anniversary,lifestyle-everyday,tool-or-test,interactive,,,guide-plus-tool,,,review,candidate,
annual-leave,legal-public-admin,tool-or-test,hold,,,lecture-or-formal-guide,,,medium,candidate,
annuity-calculator,finance-tax,tool-or-test,hold,,,guide-plus-calculator,,,medium,candidate,
anxiety-type,psychology-self-discovery,tool-or-test,interactive,,,interpretive-guide,,,medium,candidate,
articles,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
attachment-style,psychology-self-discovery,tool-or-test,interactive,,,interpretive-guide,,,medium,candidate,
barcode-generator,image-media-design-dev,tool-or-test,interactive,,,cross-link-only,,,low,hold,
beautifier,image-media-design-dev,tool-or-test,interactive,,,cross-link-only,,,low,hold,
binary-converter,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
blackjack,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,misc-reclassified
bmi,lifestyle-everyday,tool-or-test,interactive,,,guide-plus-tool,,,review,candidate,
bodyfat,lifestyle-everyday,tool-or-test,interactive,,,guide-plus-tool,,,review,candidate,
bond-insight,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
brokerage-fee,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
budget,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
burnout,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
business-type,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
caffeine-calculator,lifestyle-everyday,tool-or-test,magazine,,,guide-plus-tool,,,review,candidate,
calculator,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
calorie,lifestyle-everyday,tool-or-test,magazine,,,guide-plus-tool,,,review,candidate,
capital-gains-tax,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,high,candidate,
car-installment,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
car-tax,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
card-comparison,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,misc-reclassified
cat-fishing,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
category,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
changelog,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
checkers,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
checksum-calculator,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
chess,games-puzzles,tool-or-test,interactive,,,interactive-article,,,high,candidate,
child-height,lifestyle-everyday,tool-or-test,magazine,,,guide-plus-tool,,,review,candidate,
chimp-test,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
christmas-tree,lifestyle-everyday,tool-or-test,magazine,,,guide-plus-tool,,,review,candidate,
coffee-personality,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
collab-risk,legal-public-admin,tool-or-test,hold,,,lecture-or-formal-guide,,,medium,candidate,
color-aura,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
color-converter,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
color-personality,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
color-picker,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
color-recognition-test,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
colorPicker,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
common,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
compatibility,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,misc-reclassified
compound,finance-tax,tool-or-test,hold,,,guide-plus-calculator,,,high,candidate,
compound2,finance-tax,tool-or-test,hold,,,guide-plus-calculator,,,medium,candidate,
comstyle,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,misc-reclassified
connect-four,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
contact,legal-public-admin,tool-or-test,hold,,,lecture-or-formal-guide,,,medium,candidate,
converters,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
credit-card-deduction,finance-tax,tool-or-test,hold,,,guide-plus-calculator,,,medium,candidate,
critiquest,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,misc-reclassified
cryptography,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
css-unit-converter,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
cultural-greetings,lifestyle-everyday,tool-or-test,magazine,,,guide-plus-tool,,,review,candidate,
dday,study-productivity,tool-or-test,interactive,,,strategy-guide,,,medium,candidate,
decision-lens,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,misc-reclassified
depression-test,psychology-self-discovery,tool-or-test,interactive,,,interpretive-guide,,,medium,candidate,
digital-balance,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,misc-reclassified
digital-wellbeing,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,misc-reclassified
disc,psychology-self-discovery,tool-or-test,interactive,,,interpretive-guide,,,medium,candidate,
dog-age,lifestyle-everyday,tool-or-test,interactive,,,guide-plus-tool,,,review,candidate,
dog-vision,lifestyle-everyday,tool-or-test,interactive,,,guide-plus-tool,,,review,candidate,
domino,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
dot-jumpking,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
dot-pet,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
dot-runner,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
dsr-calculator,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
dutch-pay,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,misc-reclassified
early-repayment,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,misc-reclassified
egogram,psychology-self-discovery,tool-or-test,interactive,,,interpretive-guide,,,medium,candidate,
emoji,image-media-design-dev,tool-or-test,interactive,,,cross-link-only,,,low,hold,
emotional-mind,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
empathy-test,psychology-self-discovery,tool-or-test,interactive,,,interpretive-guide,,,medium,candidate,
encryption-decryption,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
eq-insight,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,misc-reclassified
expense-ratio-calculator,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
express-match,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,misc-reclassified
expressions,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
face,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
face2,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
fasting-tracker,lifestyle-everyday,tool-or-test,hold,,,guide-plus-tool,,,review,candidate,
favicon-generator,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
finance,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
financial-investment-tax,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
focus-blocker,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
focus-mixer,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
food-menu,lifestyle-everyday,tool-or-test,magazine,,,guide-plus-tool,,,review,candidate,
footer,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
fraction-converter,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
freecell,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
freelancer-vs-business,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
fun,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
game2048,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
gif-splitter,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
gift-tax,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,high,candidate,
gift-vs-inheritance,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
global-income-tax,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
gomoku,games-puzzles,tool-or-test,interactive,,,interactive-article,,,high,candidate,
grade,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
gzip,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
gzip-zlib-decompressor,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
happymeter,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
hearts,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
hex-converter,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
hitori,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
home,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,misc-reclassified
hormones,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
horoscope,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
htmlentities,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
image-grayscale,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
image-metadata,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
image-pixelate,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
image-to-ascii,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
image-to-base64,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
image-tools,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
imageConverter,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
incorporation,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
incorporation-timing,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
inflation-calculator,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,misc-reclassified
inheritance-tax,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,high,candidate,
insightquest,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
insurance-premium,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
investment,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
isa-calculator,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
isa-vs-pension,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
jeonse-guarantee,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
jeonse-vs-buy,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
jeonse-vs-rent,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
json,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
json-encode-decode,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
json-navigator,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
json-parser,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
json-to-html,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
kbd,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
kbd2,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
kurodoko,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
latte-factor,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
leaderpulse,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
learning-style,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,high,candidate,
leftbrain,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
legal,legal-public-admin,tool-or-test,academy,,,lecture-or-formal-guide,,,medium,candidate,
legal-docs-generator,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
legal-interest,legal-public-admin,tool-or-test,academy,,,lecture-or-formal-guide,,,medium,candidate,
life,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
life-expectancy,lifestyle-everyday,tool-or-test,magazine,,,guide-plus-tool,,,review,candidate,
life-planning,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
lightup,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
litigation-cost,legal-public-admin,tool-or-test,academy,,,lecture-or-formal-guide,,,medium,candidate,
logo,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
lorem,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
loss-of-income,legal-public-admin,tool-or-test,academy,,,lecture-or-formal-guide,,,medium,candidate,
lostark-bus-calculator,lostark-game-specific,tool-or-test,hold,,,hold,,,low,hold,
lostark-calculator,lostark-game-specific,tool-or-test,hold,,,hold,,,low,hold,
lostark-market-engraving,lostark-game-specific,tool-or-test,hold,,,hold,,,low,hold,
lostark-relic-engravings,lostark-game-specific,tool-or-test,hold,,,hold,,,low,hold,
lostark-stronghold,lostark-game-specific,tool-or-test,hold,,,hold,,,low,hold,
lostarkMarketEngraving,lostark-game-specific,tool-or-test,hold,,,hold,,,low,hold,
lostarkStronghold,lostark-game-specific,tool-or-test,hold,,,hold,,,low,hold,
lotto,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
lovelanguage,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
market-backtest,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,misc-reclassified
maze,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
mbti,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
mbti-stress-relief,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
md-table,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
md-to-html,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
meeting-cost,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,high,candidate,
memory-test-card,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
menstrual-tracker,lifestyle-everyday,tool-or-test,magazine,,,guide-plus-tool,,,review,candidate,
metadata,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
metatag-generator,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
metronome,study-productivity,tool-or-test,magazine,,,strategy-guide,,,medium,candidate,
mindclear,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
mindease,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
mindrest,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
mindset-compass,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
minesweeper,games-puzzles,tool-or-test,interactive,,,interactive-article,,,medium,candidate,
minifier,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
mobile-banner,study-productivity,tool-or-test,magazine,,,strategy-guide,,,review,candidate,misc-reclassified
money-personality,psychology-self-discovery,tool-or-test,magazine,,,interpretive-guide,,,medium,candidate,
monitor,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
morsecode,image-media-design-dev,tool-or-test,cross-link-only,,,cross-link-only,,,low,hold,
mortgage-calculator,finance-tax,tool-or-test,interactive,,,guide-plus-calculator,,,medium,candidate,
