file,locale,slug,category,explicit_track,inferred_track,bridge_components,outside_magazine_surface,component_count
src/content/blog/en/image-tools-creative-suite.mdx,en,image-tools-creative-suite,Technology,,magazine,,GrayscaleConverter|ImageCropper|ImageDegrader|ImagePixelator|ImageProcessor|MetadataViewer|PaletteExtractor,7
src/content/blog/en/education-finance-ch12.mdx,en,education-finance-ch12,Education,,magazine,,CAPMCalculator|WACCCalculator,4
src/content/blog/en/education-game-theory-ch2.mdx,en,education-game-theory-ch2,Education,,magazine,,LectureProcess|LectureTable,3
src/content/blog/en/education-game-theory-ch3.mdx,en,education-game-theory-ch3,Education,,magazine,,LectureProcess|LectureTable,3
src/content/blog/en/magazine-education-portfolio-lab.mdx,en,magazine-education-portfolio-lab,Magazine,,magazine,,BondPricer|PortfolioVisualizer,5
src/content/blog/en/age-calculator-korean-standards.mdx,en,age-calculator-korean-standards,Life,,magazine,,AgeCalculator,1
src/content/blog/en/ascii-art-generator-creative-tool.mdx,en,ascii-art-generator-creative-tool,Tools,,magazine,,AsciiArtGenerator,1
src/content/blog/en/base64-converter-encoding-guide.mdx,en,base64-converter-encoding-guide,Tools,,magazine,,Base64Converter,1
src/content/blog/en/blackjack-probability-decision.mdx,en,blackjack-probability-decision,Games,,magazine,,Blackjack,1
src/content/blog/en/bmi-body-fat-health-guide.mdx,en,bmi-body-fat-health-guide,Health,,magazine,,BmiCalculator,3
src/content/blog/en/caffeine-half-life-sleep.mdx,en,caffeine-half-life-sleep,Health,,magazine,,CaffeineCalculator,1
src/content/blog/en/caffeine-sensitivity-guide.mdx,en,caffeine-sensitivity-guide,Health,,magazine,,CaffeineCalculator,6
src/content/blog/en/career-growth-snake-game.mdx,en,career-growth-snake-game,Productivity,,magazine,,SnakeGame,1
src/content/blog/en/checkers-maneuver-strategy.mdx,en,checkers-maneuver-strategy,Games,,magazine,,Checkers,1
src/content/blog/en/chess-strategy-depth-thinking.mdx,en,chess-strategy-depth-thinking,Games,,magazine,,ChessBoard,3
src/content/blog/en/child-growth-height-guide.mdx,en,child-growth-height-guide,Health,,magazine,,ChildHeightCalculator,5
src/content/blog/en/child-height-prediction-factors.mdx,en,child-height-prediction-factors,Health,,magazine,,HeightPredictor,1
src/content/blog/en/chimp-test-cognitive-memory.mdx,en,chimp-test-cognitive-memory,Science,,magazine,,ChimpTest,1
src/content/blog/en/developer-unit-converter-guide.mdx,en,developer-unit-converter-guide,Technology,,magazine,,DeveloperUnitConverter,1
src/content/blog/en/dividend-investment-guide.mdx,en,dividend-investment-guide,Investment,,magazine,,DividendCalculator,7
src/content/blog/en/dog-vision-simulator-science.mdx,en,dog-vision-simulator-science,Science,,magazine,,DogVisionSimulator,1
src/content/blog/en/dominoes-connectivity-strategy.mdx,en,dominoes-connectivity-strategy,Games,,magazine,,Dominoes,1
src/content/blog/en/education-finance-ch13.mdx,en,education-finance-ch13,Education,,magazine,,BondPricer,3
src/content/blog/en/education-finance-ch14.mdx,en,education-finance-ch14,Education,,magazine,,PortfolioVisualizer,3
src/content/blog/en/freecell-resource-allocation.mdx,en,freecell-resource-allocation,Strategy,,magazine,,FreeCell,1
src/content/blog/en/game-2048-exponential-thinking.mdx,en,game-2048-exponential-thinking,Strategy,,magazine,,Game2048,3
src/content/blog/en/gomoku-five-in-a-row-strategy.mdx,en,gomoku-five-in-a-row-strategy,Strategy,,magazine,,Gomoku,3
src/content/blog/en/gpa-academic-performance-strategy.mdx,en,gpa-academic-performance-strategy,Life,,magazine,,GpaCalculator,1
src/content/blog/en/height-predictor-growth-guide.mdx,en,height-predictor-growth-guide,Health,,magazine,,HeightPredictor,1
src/content/blog/en/hitori-decluttering-strategy.mdx,en,hitori-decluttering-strategy,Philosophy,,magazine,,Hitori,1
src/content/blog/en/intermittent-fasting-metabolism.mdx,en,intermittent-fasting-metabolism,Health,,magazine,,FastingTimer,1
src/content/blog/en/intermittent-fasting-timer-guide.mdx,en,intermittent-fasting-timer-guide,Health,,magazine,,FastingTimer,1
src/content/blog/en/janggi-negotiation-strategy.mdx,en,janggi-negotiation-strategy,Education,,magazine,,JanggiBoard,1
src/content/blog/en/magazine-attachment-test.mdx,en,magazine-attachment-test,Magazine,,magazine,AttachmentTest,,2
src/content/blog/en/magazine-developer-toolkit.mdx,en,magazine-developer-toolkit,Magazine,,magazine,,DeveloperUnitConverter,2
src/content/blog/en/magazine-education-productivity-lab.mdx,en,magazine-education-productivity-lab,Magazine,,magazine,TypingSpeedTest,,4
src/content/blog/en/magazine-education-psychology-lab.mdx,en,magazine-education-psychology-lab,Magazine,,magazine,AttachmentTest,,4
src/content/blog/en/magazine-education-statistics-lab.mdx,en,magazine-education-statistics-lab,Magazine,,magazine,,SamplingErrorLab,4
src/content/blog/en/magazine-education-strategy-lab.mdx,en,magazine-education-strategy-lab,Magazine,,magazine,,SWOTBuilder,4
src/content/blog/en/magazine-education-trade-lab.mdx,en,magazine-education-trade-lab,Magazine,,magazine,,CompAdvantageCalculator,4
src/content/blog/en/magazine-education-variance-lab.mdx,en,magazine-education-variance-lab,Magazine,,magazine,,VarianceAnalysis,4
src/content/blog/en/magazine-lost-ark-stone-odds.mdx,en,magazine-lost-ark-stone-odds,Magazine,,magazine,StoneSimulator,,2
src/content/blog/en/meeting-cost-corporate-efficiency.mdx,en,meeting-cost-corporate-efficiency,Culture,,magazine,,MeetingCostCalculator,1
src/content/blog/en/meeting-cost-productivity.mdx,en,meeting-cost-productivity,Lifestyle,,magazine,,MeetingCostCalculator,5
src/content/blog/en/minesweeper-risk-management.mdx,en,minesweeper-risk-management,Education,,magazine,,Minesweeper,1
src/content/blog/en/pet-age-human-comparison.mdx,en,pet-age-human-comparison,Life,,magazine,,PetAgeCalculator,1
src/content/blog/en/pregnancy-cycle-womens-health.mdx,en,pregnancy-cycle-womens-health,Health,,magazine,,PregnancyCalculator,1
src/content/blog/en/psychology-wordle-game.mdx,en,psychology-wordle-game,Education,,magazine,,PsychologyWordle,1
src/content/blog/en/reversi-reversal-strategy.mdx,en,reversi-reversal-strategy,Strategy,,magazine,,Reversi,1
src/content/blog/en/solitaire-order-focus.mdx,en,solitaire-order-focus,Education,,magazine,,Solitaire,1
src/content/blog/en/sudoku-deduction-logic.mdx,en,sudoku-deduction-logic,Education,,magazine,,Sudoku,1
src/content/blog/en/svg-studio-vector-design-tool.mdx,en,svg-studio-vector-design-tool,Technology,,magazine,,SvgStudio,1
src/content/blog/en/tents-trees-logical-deployment.mdx,en,tents-trees-logical-deployment,Education,,magazine,,TentsAndTrees,1
src/content/blog/en/watersort-process-refining.mdx,en,watersort-process-refining,Strategy,,magazine,,WaterSort,1
src/content/blog/en/wheel-spinner-decision-fatigue.mdx,en,wheel-spinner-decision-fatigue,Strategy,,magazine,,WheelSpinner,1
src/content/blog/cn/ancestor-worship-jesa.mdx,cn,ancestor-worship-jesa,Myth & Culture,,magazine,,,0
src/content/blog/cn/attachment-theory-relationships.mdx,cn,attachment-theory-relationships,Mind & Psychology,,magazine,,,0
src/content/blog/cn/black-death-pandemic-economics.mdx,cn,black-death-pandemic-economics,Myth & Culture,,magazine,,,0
src/content/blog/cn/buddhist-void-sunyata.mdx,cn,buddhist-void-sunyata,Philosophy & Spirit,,magazine,,,0
src/content/blog/cn/bystander-effect-apathy.mdx,cn,bystander-effect-apathy,Mind & Psychology,,magazine,,,0
src/content/blog/cn/cassandra-unbelieved-truth.mdx,cn,cassandra-unbelieved-truth,Myth & Culture,,magazine,,,0
src/content/blog/cn/cognitive-dissonance-beliefs.mdx,cn,cognitive-dissonance-beliefs,Mind & Psychology,,magazine,,,0
src/content/blog/cn/confucianism-hierarchy-respect.mdx,cn,confucianism-hierarchy-respect,Philosophy & Spirit,,magazine,,,0
src/content/blog/cn/consciousness-hard-problem.mdx,cn,consciousness-hard-problem,Lifestyle & Growth,,magazine,,,0
src/content/blog/cn/digital-narcissism-selfie.mdx,cn,digital-narcissism-selfie,Mind & Psychology,,magazine,,,0
src/content/blog/cn/dokkaebi-wealth-mischief.mdx,cn,dokkaebi-wealth-mischief,Myth & Culture,,magazine,,,0
src/content/blog/cn/dopamine-fasting-focus.mdx,cn,dopamine-fasting-focus,Mind & Psychology,,magazine,,,0
src/content/blog/cn/dream-interpretation-taemong.mdx,cn,dream-interpretation-taemong,Myth & Culture,,magazine,,,0
